Months,2008,2009,2010,2011,2012,2013
1,15.32,17.18,17.51,19.23,22.24,22.88
2,15.38,16.95,17.55,19.23,22.22,22.86
3,15.30,16.98,17.53,19.17,22.23,22.79
4,15.24,16.87,17.51,19.12,22.11,22.56
5,15.26,14.27,16.84,18.93,22.03,21.10
6,15.14,12.11,16.39,18.26,20.68,20.06
7,15.02,12.44,15.73,17.28,20.61,19.57
8,14.89,10.59,15.41,17.44,19.00,18.58
9,13.66,10.25,15.30,16.56,17.93,17.45
10,12.45,9.96,15.24,16.00,17.59,16.90
11,10.25,9.59,14.66,16.04,16.47,16.36
12,9.92,8.34,14.04,15.93,15.71,16.18
13,10.11,7.62,12.65,15.21,14.35,15.75
14,10.28,7.56,11.90,15.11,13.87,15.57
15,9.95,7.84,10.27,14.74,13.26,15.59
16,7.46,7.05,9.98,14.89,13.29,15.56
17,6.97,6.48,10.01,14.58,13.25,,
18,6.50,5.91,9.29,14.01,12.66,,
19,6.16,5.31,8.77,13.69,12.68,,
20,5.81,5.59,8.75,13.25,12.39,,
21,4.91,5.61,8.72,13.25,12.33,,
22,4.87,5.69,8.87,13.02,12.12,,
23,4.73,5.64,9.02,13.11,12.00,,
24,4.49,5.81,8.80,13.00,11.80,,
25,4.60,5.59,8.60,12.79,11.83,,
26,4.61,5.50,8.41,12.15,11.76,,
27,4.71,5.24,8.50,12.09,11.77,,
28,4.48,5.24,8.47,12.07,11.77,,
29,4.47,5.10,8.42,11.68,11.77,,
30,4.49,4.96,8.38,11.63,,,
31,4.55,5.03,8.29,11.65,,,
32,4.48,5.08,8.15,11.64,,,
33,4.43,4.91,8.14,11.64,,,
34,4.28,4.94,8.15,11.65,,,
35,4.30,4.95,7.82,11.65,,,
36,4.28,4.96,7.82,11.65,,,
